Motif,RBP
MTF11378,YBX1
MTF11046,YBX1
MTF10696,YBX1
MTF11491,YBX1
MTF11463,YBX1
MTF11344,YBX1
MTF11000,ZRANB2
MTF11439,ZRANB2
MTF10663,ZRANB2
MTF11183,ZRANB2
MTF11749,HNRNPA1
MTF11765,TRA2B
MTF11771,SRSF1
MTF11746,SRSF2
MTF11758,SRSF1
MTF11733,TRA2B
MTF11730,PTBP1
MTF11772,TRA2B
MTF11783,RBMX
MTF11767,YBX1
MTF11725,SRSF2
MTF11774,SRSF1
MTF11741,SRSF1
MTF11726,TRA2A
MTF11778,SRSF5
MTF11743,HNRNPF
MTF11766,SRSF7
MTF11769,SRSF5
MTF11723,SRSF2
MTF11747,SRSF1
MTF11737,SRSF1
MTF11744,YBX1
MTF11784,PTBP1
MTF11760,SRSF5
MTF11736,SRSF2
MTF11739,SRSF1
MTF11754,HNRNPA1
MTF11782,HNRNPH1
MTF11727,SRSF2
MTF11751,SRSF1
MTF11770,SRSF2
MTF11768,SRSF1
MTF11740,SRSF3
MTF11777,SRSF5
MTF11750,SRSF2
MTF11729,HNRNPA1
MTF11742,SRSF7
MTF11764,RBMX
MTF11731,SRSF2
MTF11762,SRSF1
MTF11787,HNRNPA1
MTF11732,SRSF1
MTF11763,PTBP1
MTF11785,SRSF1
MTF11779,TRA2B
MTF11755,SRSF1
MTF11773,RBMX
MTF11753,NOVA1
MTF11748,SRSF2
MTF11775,SRSF1
MTF11786,SRSF6
MTF11734,SRSF1
MTF11752,RBMX
MTF11738,HNRNPH1
MTF11776,SRSF1
MTF11757,SRSF1
MTF11780,HNRNPH1
MTF11728,SRSF6
MTF11759,SRSF1
MTF11761,NOVA1
MTF11745,SRSF2
MTF11735,HNRNPAB
MTF11781,HNRNPA1
MTF11756,PTBP1
MTF12000,A1CF
MTF11996,A1CF
MTF11904,A1CF
MTF12004,A1CF
MTF12079,A1CF
MTF11886,A1CF
MTF11868,RBFOX1
MTF11840,ANKHD1
MTF11894,BOLL
MTF11917,BOLL
MTF11815,BOLL
MTF12025,BOLL
MTF11924,CELF4
MTF12030,CELF5
MTF11817,CELF6
MTF12024,CELF1
MTF11797,CELF1
MTF12126,CELF1
MTF11956,CNOT4
MTF11920,CNOT4
MTF12076,CNOT4
MTF12110,CNOT4
MTF11970,CNOT4
MTF11848,CPEB1
MTF12068,CPEB2
MTF11989,CPEB4
MTF12109,DAZ3
MTF12001,DAZ3
MTF11992,DAZ3
MTF11939,DAZ3
MTF11922,DAZ3
MTF12118,DAZ3
MTF12033,DAZAP1
MTF12035,DAZAP1
MTF11936,DAZAP1
MTF11876,DAZAP1
MTF11791,EIF4B
MTF12124,EIF4B
MTF11906,EIF4G2
MTF12089,EIF4G2
MTF11873,EIF4G2
MTF11994,EIF4G2
MTF11931,ELAVL1
MTF11854,ELAVL1
MTF11957,ELAVL1
MTF12048,ELAVL1
MTF12065,ELAVL1
MTF11980,ELAVL4
MTF11949,ELAVL4
MTF11979,ELAVL4
MTF11897,ENOX1
MTF12061,ESRP1
MTF11925,ESRP1
MTF12101,ESRP1
MTF11930,ESRP2
MTF12002,EWSR1
MTF11806,EWSR1
MTF11846,EWSR1
MTF11849,EWSR1
MTF12085,FMR1
MTF11825,FUBP1
MTF11871,FUBP1
MTF12023,FUBP1
MTF11790,FUBP1
MTF11803,FUBP3
MTF11941,FUBP3
MTF11801,FUS
MTF11947,FXR2
MTF11921,G3BP2
MTF12086,HNRNPA0
MTF11978,HNRNPA0
MTF12091,HNRNPA0
MTF11998,HNRNPA0
MTF11872,HNRNPA1
MTF11913,HNRNPA1L2
MTF11919,HNRNPA2B1
MTF11884,HNRNPA2B1
MTF11810,HNRNPA2B1
MTF11831,HNRNPAB
MTF11990,HNRNPC
MTF11882,HNRNPC
MTF11788,HNRNPC
MTF11908,HNRNPCL1
MTF12093,HNRNPCL1
MTF12074,HNRNPCL1
MTF12069,HNRNPD
MTF11986,HNRNPD
MTF11864,HNRNPD
MTF11879,HNRNPDL
MTF12075,HNRNPDL
MTF12013,HNRNPF
MTF11812,HNRNPF
MTF11891,HNRNPF
MTF11968,HNRNPH2
MTF12045,HNRNPH2
MTF11893,HNRNPH2
MTF12008,HNRNPK
MTF12028,HNRNPK
MTF11792,HNRNPK
MTF11948,HNRNPK
MTF12112,HNRNPL
MTF11892,HNRNPL
MTF11789,HNRNPL
